COMPETENCIAS AGRUPADAS,,1.1,1.2,1.3,1.4,1.5,2.1,2.2,2.3,3.1,3.2,3.3,3.4,4.1,4.2,4.3,5.1,5.2,5.3,6.1,6.2,6.3,6.4,6.5
Búsqueda y selección de contenidos o información, para la ,,,,,,1,,,1,,,,,,,,,,1,,,,
Creación o modificación de contenido, para la ,,,,,,,1,,1,,,,,,,,,,,,1,,
"Protección de datos, gestión y compartición", en la ,,1,,,1,,,1,1,,,,,,,,,,,,,1,
Proceso de Enseñanza-Aprendizaje, en la ,,,,,,,,,1,,,,,,,,,,,,,,
"Evaluación, orientación y apoyo", para la ,1,,,,,,,,1,1,,,1,1,1,,,,,,,,
Aprendizaje entre iguales, en el ,,,,,1,,,,1,,1,,,,,,,,,1,,1,
Aprendizaje autorregulado, en el ,,,,,1,,,,1,,,1,,,,,1,1,,,,,
Accesibilidad e inclusión (software libre), para la ,,,,,,,1,,1,1,,,,,,1,1,1,,,1,1,
Metodologías participativas,,,,,,,,,,1,,,,,,,,,1,,,,,1
Comunicación y colaboración profesional, para la ,1,1,,,1,,,,,,,,,,,,,,,1,,,
Reflexión sobre estrategia Digital,,,,1,,,,,,,,,,,,,,,,,,,,
