Convocatoria anterior,Código de curso,Curso,Objetivos,Contenidos,Requisitos,Etiquetas,Libros,Moodle_url,Portada,Horas,Descripción,Convocatoria,Curso Escolar,1.1,1.2,1.3,1.4,1.5,2.1,2.2,2.3,3.1,3.2,3.3,3.4,4.1,4.2,4.3,5.1,5.2,5.3,6.1,6.2,6.3,6.4,6.5
True,10.0,ABP APRENDIZAJE BASADO EN PROYECTOS INFANTIL PRIMARIA,"* Analizar los principios de la enseñanza basada en proyectos, sus ventajas y dificultades así como las claves para un desarrollo efectivo del proyecto.
* Plantear un itinerario formativo que permita al participante no sólo conocer qué es el aprendizaje basado en proyectos sino diseñar su propio proyecto a medida que recorre el itinerario.
* Promover la coherencia en los espacios formativos: aprender sobre proyectos diseñando el propio proyecto.",Definición de ABP. El ABP paso a paso. Apertura del aula en los proyectos: socialización y TIC. Comunidades de aprendizaje y TIC. La evaluación en el Aprendizaje basado en Proyectos. Mecanismos de evaluación. La gestión de proyectos de aprendizaje en el centro escolar. La enseñanza basada en proyectos como proceso de capacitación y desarrollo profesional docente.,"* Disponer de un ordenador con conexión a Internet.
* Saber navegar por internet, buscar información y descargar y subir archivos
* Conocimientos básicos sobre manejo del ordenador: abrir y cerrar programas, guardar archivos, enviar correos electrónicos con archivos adjuntos, añadir mensajes en foros...",Metodologías,abp,https://moodle.catedu.es/course/view.php?id=79,https://moodle.catedu.es/pluginfile.php/5878/course/overviewfiles/111203-F-CP999-001.JPG,50.0,"Frente a la enseñanza directa, la enseñanza basada en proyectos o tareas integradas supone hoy la mejor garantía didáctica para una contribución eficaz al desarrollo de las competencias básicas y al …",1.0,2022-23,B1,A2,B1,B1,B1,,B1,,B1,,B1,,,,,,B1,B1,,,,,B1
True,20.0,ABP APRENDIZAJE BASADO EN PROYECTOS SECUNDARIA BACHILLERATO,"* Analizar los principios de la enseñanza basada en proyectos, sus ventajas y dificultades así como las claves para un desarrollo efectivo del proyecto.
* Plantear un itinerario formativo que permita al participante no sólo conocer qué es el aprendizaje basado en proyectos sino diseñar su propio proyecto a medida que recorre el itinerario.
* Promover la coherencia en los espacios formativos: aprender sobre proyectos diseñando el propio proyecto",Definición de ABP. El ABP paso a paso. Apertura del aula en los proyectos: socialización y TIC. Comunidades de aprendizaje y TIC. La evaluación en el Aprendizaje basado en Proyectos. Mecanismos de evaluación. La gestión de proyectos de aprendizaje en el centro escolar. La enseñanza basada en proyectos como proceso de capacitación y desarrollo profesional docente.,"● Disponer de un ordenador con conexión a Internet.
● Saber navegar por internet, buscar información y descargar y subir archivos
● Conocimientos básicos sobre manejo del ordenador: abrir y cerrar programas, guardar archivos, enviar correos electrónicos con archivos adjuntos, añadir mensajes en foros...",Metodologías,abp,https://moodle.catedu.es/course/view.php?id=78,https://moodle.catedu.es/pluginfile.php/5822/course/overviewfiles/people-woman-coffee-meeting.jpg,50.0,"Frente a la enseñanza directa, la enseñanza basada en proyectos o tareas integradas supone hoy la mejor garantía didáctica para una contribución eficaz al desarrollo de las competencias clave y al ap…",1.0,2022-23,B1,A2,B1,B1,B1,,B1,,B1,,B1,,,,,,B1,B1,,,,,B1
True,25.0,AJEDREZ EN LA ESCUELA,,METODOLOGÍA Pensando por nosotros mismos Principios que nos orientanOrganización de la clase Potenciar la atenciónNormas de comportamiento APRENDEMOS A JUGAR Historia del juego Las piezas: reconocimiento de cada una en sus diversos tipos El tablero de ajedrez Colocación de las piezas en el tablero El Rey La Torre Jaque y jaque mate El Afil La Dama Mate del beso de la muerte El CaballoAhogado Mate con Rey y Dama El Peón 2º movimiento especial 3º movimiento especial: enroque HERRAMIENTAS Y EVALUACIÓN Recursos informáticos,"● Disponer de un ordenador con conexión a Internet.
● Saber navegar por internet, buscar información y descargar y subir archivos
● Conocimientos básicos sobre manejo del ordenador: abrir y cerrar programas, guardar archivos, enviar correos electrónicos con archivos adjuntos, añadir mensajes en foros...",Otros,ajedrez-en-la-escuela,https://moodle.catedu.es/course/view.php?id=479,https://moodle.catedu.es/pluginfile.php/85386/course/overviewfiles/michal-parzuchowski-6D1lESi9ssU-unsplash%202.jpg,20.0,Este curso está destinado a todos aquellos que aunque no sepan jugar al ajedrez y quieran llevarlo a sus clases. No os preocupéis porque aprendereis a la vez a jugar y a enseñarlo de una manera diver…,1.0,2022-23,A2,A2,,A2,A2,,,,,,,,,,,,,,,,,,
True,40.0,ALIMENTACIÓN Y NUTRICIÓN PARA UNA VIDA SALUDABLE,"* Contribuir a la prevención y control de los problemas relacionados con la alimentación.
* Conocer la importancia de una dieta saludable y de la actividad física entre los escolares.
* Lograr que los niños adquieran una capacidad crítica para elegir una alimentación saludable. ",Alimentos y nutrientes. El placer de comer y cocinar. Educación y estilo de vida activo. Nutrición en la enfermedad,"● Disponer de un ordenador con conexión a Internet.
● Saber navegar por internet, buscar información y descargar y subir archivos
● Conocimientos básicos sobre manejo del ordenador: abrir y cerrar programas, guardar archivos, enviar correos electrónicos con archivos adjuntos, añadir mensajes en foros...",Salud y bienestar,alimentacion,https://moodle.catedu.es/course/view.php?id=77,https://moodle.catedu.es/pluginfile.php/5737/course/overviewfiles/appetizer_summer_organic_colorful_freshness_cheese_red_color-614377.jpg,50.0,"La educación en nutrición, ha sido reconocida como uno de los elementos esenciales para contribuir a la prevención y control de los problemas relacionados con la alimentación en el mundo es clave par…",1.0,2022-23,A2,A2,,A2,A2,,,,,,,,,,,,,,,,,,
True,50.0,APP INVENTOR,"* Introducir al docente en el mundo de la programación de las APPs 
* Gamificación: Aprender jugando con proyectos La creación de APPs es un estímulo en los alumnos. La creación de sencillos programas y aprender a programarlas y compartirlas es algo gratificante
* Conocer el entorno APP inventor, sus características y programación muy básica para empezar a utilizarlo.
",Módulo 1. Primer contacto - un pequeño programa - Crear un pequeño APP de una pelotita - Probar nuestra APP - Exportar nuestra APP. Módulo 2. Cronometro - Diseño - Label - Layout. - Programación - if - variable - sensor reloj. Módulo 3. Gamificación - Control if then else,"* Disponer de un ordenador con conexión a Internet.
* Saber navegar por internet, buscar información y descargar y subir archivos
* Conocimientos básicos sobre manejo del ordenador: abrir y cerrar programas, guardar archivos, enviar correos electrónicos con archivos adjuntos, añadir mensajes en foros...
* DISPONER DE UN DISPOSITIVO CON ANDROID (TABLET O SMARTPHONE) y el ORDENADOR con conexión a INTERNET si es posible los dos conectados mediante red wifi.
* Es preferible tener unos mínimos de conocimientos de inglés (vocabulario básico informático)",STEAM/Programación,https://libros.catedu.es/books/app-inventor,https://moodle.catedu.es/course/view.php?id=38,https://moodle.catedu.es/pluginfile.php/1224/course/overviewfiles/adult-app-blur-1440722.jpg,10.0,Crea tus primeras apps en Android fácilmente utilizando un lenguaje parecido a Scratch. APP INVENTOR,1.0,2022-23,A2,A2,A1,B1,A2,,B1,,B1,,A1,,,,,,,A1,,,A1,,A1
True,60.0,APRENDIZAJE COLABORATIVO CON BLOG,"* Conocer los aspectos mas importantes del uso del blog en el aula
* Explorar y trabajar con varias plataformas de creación de blogs
* Conocer las principales herramientas TIC web 2.0 de contenidos y de colaboración en la web e integrarlas en el blog formando el hilo conductor de la asignatura.
* Trabajar con diferentes recursos para blogs
* Reflexionar sobre las posibilidades educativas del aprendizaje colaborativo",Conocer los aspectos mas importantes del uso del blog en el aula. Explorar y trabajar con varias plataformas de creación de blogs. Conocer las principales herramientas TIC de colaboración. Trabajar con diferentes recursos para blogs. Reflexionar sobre las posibilidades educativas del ap.colaborativo. Experimentar con distintas actividades colaborativas de aula. Programar con cierta soltura proyectos colaborativos. Promover un cambio metodológico global.,"● Disponer de un ordenador con conexión a Internet.
● Saber navegar por internet, buscar información y descargar y subir archivos
● Conocimientos básicos sobre manejo del ordenador: abrir y cerrar programas, guardar archivos, enviar correos electrónicos con archivos adjuntos, añadir mensajes en foros...",Destrezas digitales/básicas,https://libros.catedu.es/books/aprendizaje-colaborativo-con-blog,https://moodle.catedu.es/course/view.php?id=92,https://moodle.catedu.es/pluginfile.php/6363/course/overviewfiles/blog-793047_1920.jpg,50.0,Conocer los aspectos mas importantes del uso del blog en el aula Explorar y trabajar con varias plataformas de creación de blogs Conocer las principales herramientas TIC de colaboración Trabajar con …,1.0,2022-23,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,,,,,,B1,B1,,B1,B1,B1,B1
True,70.0,ARASAAC,"• Alcanzar unas nociones básicas sobre Sistemas Aumentativos y Alternativos de Comunicación (SAACs).
• Conocer el origen de ARASAAC y su evolución como SAAC.
• Conocer las distintas secciones del portal : catálogos, descargas, software, ejemplos de uso,  licencia, etc.
• Manejar los distintos sistemas de búsqueda de recursos gráficos (pictogramas, fotografías y videos en LSE) para la elaboración de materiales y adaptaciones curriculares.
• Elaboración de materiales con las herramientas online disponibles en el portal.
• Conocimiento y manejo práctico de aplicaciones informáticas para PC y para dispositivos  relacionadas con la CAA y que utilizan los recursos del portal ARASAAC",- Sistemas Aumentativos y Alternativos de Comunicación (SAACs) - Los pictogramas como SAAC - Productos de apoyo específicos para la CAA - El portal ARASAAC: secciones- recursos- materiales- buscadores-… - Herramientas online del portal - Elaboración de materiales - AraWord - AraBoard y PictoSelector.,"● Disponer de un ordenador con conexión a Internet.
● Saber navegar por internet, buscar información y descargar y subir archivos
● Conocimientos básicos sobre manejo del ordenador: abrir y cerrar programas, guardar archivos, enviar correos electrónicos con archivos adjuntos, añadir mensajes en foros... • Poseer conocimientos básicos de Internet, de retoque de imágenes (redimensionar y guardar imágenes en diferentes formatos) ",Otros,curso-arasaac,https://moodle.catedu.es/course/view.php?id=1089,https://moodle.catedu.es/pluginfile.php/6086/course/overviewfiles/arasaac.jpg,40.0,,1.0,2022-23,B1,B1,B1,B1,B1,B1,B1,B1,B1,,,,,,,B1,B1,,,,,,B1
True,80.0,ARDUINO CON ECHIDNA Y mBLOCK (Scratch),"* Conocer las principales formas de programación gráfica, opciones del desarrollo del pensamiento computacional en el aula y sus posibilidades.
* Desarrollar proyectos sencillos con Arduino y el escudo Echidna sin o con mínimo cableado electrónico para su desarrollo en los últimos cursos de primaria o primeros de secundaria.
* Abrir las puertas al desarrollo de proyectos de robótica sencillos.
",1.Cómo utilizarlo:veremos que está adaptado a la programación en primaria o primeros cursos de secundaria con programación gráfica. 2. Salidas De forma fácil y sin electrónica ya podemos jugar. 3. Entradas El joystick- acelerómetro y el LDR son elementos motivadores para la programación y la imaginación. 4. Makey Makey tienes dos placas en una. Se abre otra puerta a las capacidades de nuestros pequeños genios. 5. Extensiones no nos quedamos cortos- podemos construir sencillos robots y proyectos con poco cableado.,"* Es necesario haber realizado una FORMACIÓN BÁSICA EN SCRATCH 
 * kit de robótica específico de este curso que se puede ver en los contenidos
 * Disponer de un ordenador con conexión a Internet.
 * Saber navegar por internet, buscar información y descargar y subir archivos
 * Conocimientos básicos sobre manejo del ordenador: abrir y cerrar programas, guardar archivos, añadir mensajes en foros...
 * Conocimientos básicos de electricidad
 * Aunque el curso se repasa de forma muy básica los fundamentos de la electrónica, es requisito conocerlos anteriormente para seguir el curso",STEAM/Robótica,https://libros.catedu.es/books/arduino-con-echidna-y-mblock-scratch,https://moodle.catedu.es/course/view.php?id=163,https://moodle.catedu.es/pluginfile.php/20539/course/overviewfiles/image88.png,20.0,"En este curso pretende mostrarte el potencial educativo de este sencillo escudo. 1.Cómo utilizarlo, veremos que está adaptado a la programación en primaria o primeros cursos de secundaria con program…",1.0,2022-23,A2,A2,A1,B1,A2,,B1,,B1,,,,,,,A2,,A2,,,A1,,A1
True,90.0,ATREVETE CON WORDPRESS,"Conocer los tipos de instalaciones de Wordpress.
Aprender a gestionar los contenidos de un Wordpress.
Aprender a ampliar la funcionalidad de Wordpress con plugins.
Conocer las tareas de administración de un Wordpress.",1. Qué es Wordpress. Tipos y nomenclatura. 2. Puesta en marcha. Crear Wordpress en wordpress.es. Instalar wordpress en un alojamiento web. 3. Utilizando Wordpress: - Entradas - Páginas - Medios e imágenes. - Categorías y etiquetas. - Menús. - Comentarios y pingbacks. - Temas. - Widgets. - Gestión de usuarios,"● Disponer de un ordenador con conexión a Internet.
● Saber navegar por internet, buscar información y descargar y subir archivos
● Conocimientos básicos sobre manejo del ordenador: abrir y cerrar programas, guardar archivos, enviar correos electrónicos con archivos adjuntos, añadir mensajes en foros...",Destrezas digitales/básicas,atrevete-con-wordpress,https://moodle.catedu.es/course/view.php?id=57,https://moodle.catedu.es/pluginfile.php/1414/course/overviewfiles/wordpress-3446158_1920.jpg,30.0,,1.0,2022-23,B1,B1,A1,B1,B1,,B1,,B1,,A2,,,,,A1,,,,A1,,,B1
True,94.0,AULA CONECTAD@: METODOLOGÍA Y CIENCIA AL SERVICIO DEL DOCENTE,"* Aula conectad@ es una versión actualizada del curso Educación semipresencial Aula Compartid@.
* Volvemos a las aulas presenciales con todas sus ventajas y toda su complejidad. tenemos el contacto personal, la interacción con nuestro alumnado y ellos la posibilidad de trabajar con todos sus compañeros. Se abren ahora nuevas preguntas: ¿se puede volver a lo anterior? ¿Merece la pena? 
* Ahora que todos hemos evolucionado como alumnado y docentes en nuestro potencial digital: email, drive, jitsi, aeducar, classroom, google meet., fotos, podcast, ppt compartidos, canvas, trabajo en equipo digital, videoconferencias, vídeos cortos, flipped class...
Es increíble lo que ha demostrado la comunidad docente en un puñado de meses....¿Cómo podemos aprovecharlo en la vuelta al aula presencial? ¿te lo vas a perder?",Aula Conectad@. Modalidades de formación. Un nuevo comienzo. ¿Revolución metodológica?. La programación más viva que nunca. Evaluamos,"● Disponer de un ordenador con conexión a Internet.
● Saber navegar por internet, buscar información y descargar y subir archivos
● Conocimientos básicos sobre manejo del ordenador: abrir y cerrar programas, guardar archivos, enviar correos electrónicos con archivos adjuntos, añadir mensajes en foros...",Metodologías,,https://moodle.catedu.es/course/view.php?id=931,https://moodle.catedu.es/pluginfile.php/116675/course/overviewfiles/AULACONECTADA.png,50.0,,1.0,2022-23,B1,B1,B1,B1,B1,B1,,,B1,B1,,B1,B1,B1,B1,,,B1,B1,B1,,,B1
